Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100055,Female,Yes,0,Not Graduate,Yes,1518,946.81,336.3,240,1.0,Rural,N
LP100056,Female,No,1,Not Graduate,No,18525,328.57,378.8,180,1.0,Urban,N
LP100057,Male,Yes,0,Graduate,Yes,4583,4991.7,463.1,240,0.0,Urban,N
LP100058,Male,No,2,Graduate,Yes,23084,6006.07,460.3,240,1.0,Urban,N
LP100059,Male,Yes,2,Graduate,No,10021,624.8,382.5,120,0.0,Urban,N
LP100060,Male,Yes,1,Not Graduate,No,18749,7212.24,139.0,120,1.0,Urban,Y
LP100061,Male,No,0,Graduate,No,2273,2303.95,429.5,120,1.0,Rural,N
LP100062,Male,Yes,3+,Graduate,Yes,6232,6852.01,141.7,180,1.0,Rural,Y
LP100063,Male,No,0,Not Graduate,No,21402,9818.97,384.3,300,0.0,Semiurban,N
LP100064,Male,Yes,2,Not Graduate,No,8295,6911.06,358.5,240,1.0,Urban,N
LP100065,Female,No,2,Graduate,Yes,8484,8831.93,391.5,360,0.0,Semiurban,N
LP100066,Female,No,0,Not Graduate,No,4067,9481.99,289.7,120,1.0,Rural,Y
LP100067,Male,Yes,0,Not Graduate,Yes,17621,4867.51,337.4,180,1.0,Urban,N
LP100068,Female,No,3+,Graduate,No,3174,7023.25,479.0,180,1.0,Semiurban,N
LP100069,Female,Yes,3+,Not Graduate,Yes,12375,8519.69,95.5,180,1.0,Urban,Y
LP100070,Female,Yes,0,Not Graduate,Yes,13072,3566.09,189.0,360,1.0,Urban,Y
LP100071,Female,Yes,0,Graduate,No,2239,2613.97,325.1,360,1.0,Semiurban,N
LP100072,Male,No,0,Not Graduate,Yes,3045,9465.99,483.8,120,1.0,Rural,N
LP100073,Female,No,0,Graduate,No,10827,7263.04,93.0,360,0.0,Semiurban,N
LP100074,Male,Yes,1,Graduate,No,6627,2196.82,60.1,120,1.0,Semiurban,Y
LP100075,Female,Yes,0,Not Graduate,Yes,24831,4490.83,75.1,360,1.0,Semiurban,Y
LP100076,Female,No,3+,Not Graduate,No,24504,7964.52,73.6,360,0.0,Urban,N
LP100077,Female,Yes,2,Not Graduate,Yes,10565,5470.63,458.5,360,0.0,Rural,N
LP100078,Male,Yes,1,Graduate,Yes,22439,6499.52,374.6,120,1.0,Rural,N
LP100079,Female,No,0,Not Graduate,Yes,11992,7537.68,354.7,240,1.0,Urban,N
LP100080,Male,Yes,2,Graduate,Yes,23529,6220.09,285.2,120,1.0,Rural,Y
LP100081,Female,No,1,Not Graduate,Yes,15249,5400.79,401.9,240,1.0,Semiurban,N
LP100082,Male,Yes,2,Not Graduate,Yes,10545,7496.14,120.0,180,1.0,Rural,Y
LP100083,Female,No,0,Not Graduate,Yes,21616,7275.63,226.4,180,1.0,Urban,Y
LP100084,Male,Yes,0,Graduate,Yes,20167,6298.72,270.5,120,1.0,Rural,Y
LP100085,Male,Yes,3+,Not Graduate,No,11021,3597.89,99.7,240,1.0,Urban,Y
LP100086,Female,No,0,Not Graduate,No,10169,4058.12,238.8,240,1.0,Semiurban,Y
LP100087,Male,Yes,0,Graduate,Yes,12783,9704.39,192.4,240,1.0,Urban,Y
LP100088,Female,No,1,Graduate,No,8498,1123.86,66.0,180,1.0,Rural,Y
LP100089,Female,Yes,3+,Not Graduate,No,14940,2685.05,111.5,120,1.0,Semiurban,Y
LP100090,Female,No,1,Not Graduate,No,14197,4924.02,393.8,300,0.0,Rural,N
LP100091,Female,No,2,Not Graduate,No,15233,8367.3,58.1,240,0.0,Urban,N
LP100092,Female,No,0,Graduate,No,23297,1636.76,470.4,240,1.0,Semiurban,N
LP100093,Female,No,2,Graduate,No,2769,2769.55,88.9,300,1.0,Urban,N
LP100094,Female,Yes,1,Graduate,Yes,9368,657.98,409.7,120,1.0,Rural,N
LP100095,Female,Yes,0,Graduate,No,13873,7059.85,454.4,240,1.0,Urban,N
LP100096,Female,No,0,Not Graduate,No,20487,2382.09,473.5,120,0.0,Rural,N
LP100097,Female,No,1,Graduate,No,7461,3886.75,440.4,240,1.0,Rural,N
LP100098,Female,No,1,Graduate,No,17234,4437.01,179.4,360,1.0,Semiurban,Y
LP100099,Male,Yes,1,Graduate,Yes,11161,8913.14,199.9,240,1.0,Semiurban,Y
LP100100,Male,Yes,1,Not Graduate,Yes,10069,4113.3,241.9,360,1.0,Urban,Y
LP100101,Female,Yes,1,Not Graduate,Yes,9057,1452.25,112.7,120,1.0,Rural,Y
LP100102,Female,Yes,0,Graduate,Yes,19564,5243.15,60.0,240,1.0,Rural,Y
LP100103,Female,No,1,Graduate,No,9933,9629.58,441.1,180,1.0,Semiurban,N
LP100104,Female,No,0,Not Graduate,Yes,17153,6076.86,299.4,180,1.0,Semiurban,Y
LP100105,Female,No,0,Not Graduate,Yes,10611,9833.87,323.9,300,1.0,Semiurban,N
LP100106,Female,Yes,1,Not Graduate,Yes,7182,8411.07,467.1,180,1.0,Semiurban,N
LP100107,Female,Yes,1,Not Graduate,Yes,16979,359.66,349.3,360,1.0,Urban,N
LP100108,Female,Yes,3+,Not Graduate,No,16547,6584.0,360.9,180,1.0,Urban,N
LP100109,Male,No,0,Not Graduate,Yes,9584,2867.67,404.1,180,1.0,Urban,N
LP100110,Female,No,1,Not Graduate,No,23251,5596.17,102.4,180,1.0,Urban,Y
LP100111,Male,Yes,1,Not Graduate,Yes,17953,2793.45,212.1,240,1.0,Semiurban,Y
LP100112,Female,No,1,Graduate,No,21808,3488.7,485.7,300,1.0,Urban,N
LP100113,Female,Yes,3+,Graduate,No,7700,9231.69,465.3,120,1.0,Urban,N
LP100114,Male,Yes,3+,Graduate,Yes,11778,2066.43,447.8,300,0.0,Urban,N
LP100115,Female,No,2,Graduate,Yes,3507,8741.09,253.4,360,0.0,Semiurban,N
LP100116,Male,Yes,0,Graduate,Yes,17302,304.58,435.7,240,1.0,Rural,N
LP100117,Female,No,2,Graduate,Yes,14829,908.77,71.8,240,1.0,Semiurban,Y
LP100118,Female,Yes,1,Not Graduate,No,4279,8546.75,116.8,180,1.0,Rural,Y
LP100119,Male,No,3+,Not Graduate,No,22804,6305.56,236.3,180,0.0,Rural,N
LP100120,Female,No,3+,Graduate,Yes,2255,7472.36,267.5,360,1.0,Urban,N
LP100121,Male,No,2,Graduate,Yes,7995,2094.18,168.6,240,1.0,Urban,Y
LP100122,Female,Yes,3+,Not Graduate,No,11687,5370.83,210.4,120,1.0,Urban,Y
LP100123,Male,Yes,1,Not Graduate,Yes,23819,7372.19,123.2,300,1.0,Semiurban,Y
LP100124,Male,No,3+,Not Graduate,No,11013,6273.14,270.1,240,0.0,Semiurban,N
LP100125,Female,No,2,Graduate,Yes,20214,4716.99,407.2,120,1.0,Urban,N
LP100126,Female,Yes,1,Not Graduate,No,23589,9597.84,347.6,120,1.0,Semiurban,N
LP100127,Male,Yes,2,Graduate,No,18900,6761.57,98.5,300,0.0,Semiurban,N
LP100128,Female,Yes,3+,Graduate,No,8847,9077.51,269.4,120,0.0,Rural,N
LP100129,Female,No,2,Not Graduate,No,15749,7297.71,363.9,360,0.0,Semiurban,N
LP100130,Female,Yes,2,Not Graduate,No,16379,7354.64,288.5,120,1.0,Rural,Y
LP100131,Male,Yes,0,Graduate,Yes,15557,800.18,226.3,360,1.0,Urban,Y
LP100132,Male,No,3+,Not Graduate,No,13557,3594.65,329.9,120,1.0,Semiurban,N
LP100133,Male,Yes,3+,Not Graduate,Yes,6438,8583.69,485.9,180,0.0,Rural,N
LP100134,Male,Yes,2,Graduate,No,20722,2326.04,92.7,120,1.0,Semiurban,Y
LP100135,Male,Yes,0,Not Graduate,No,2237,1155.06,225.5,360,1.0,Rural,N
LP100136,Male,No,3+,Graduate,Yes,7700,3261.06,233.0,120,1.0,Rural,Y
LP100137,Male,No,1,Graduate,Yes,9871,2204.38,309.6,120,0.0,Semiurban,N
LP100138,Male,No,2,Not Graduate,Yes,18115,9252.88,118.5,120,0.0,Urban,N
LP100139,Male,No,3+,Graduate,Yes,19801,8679.67,129.5,360,1.0,Rural,Y
LP100140,Female,No,1,Graduate,No,10034,4996.83,178.4,120,0.0,Urban,N
LP100141,Male,No,3+,Not Graduate,Yes,23802,613.44,480.1,300,1.0,Semiurban,N
LP100142,Female,No,1,Not Graduate,No,4123,7145.62,380.3,300,1.0,Semiurban,N
LP100143,Female,Yes,2,Not Graduate,Yes,10146,6234.12,347.8,360,1.0,Urban,N
LP100144,Female,Yes,3+,Graduate,Yes,15043,9705.55,417.6,180,1.0,Semiurban,N
LP100145,Male,No,3+,Graduate,No,24285,5589.53,107.4,300,1.0,Rural,Y
LP100146,Male,Yes,0,Not Graduate,No,14317,3363.94,436.7,240,1.0,Urban,N
LP100147,Male,Yes,2,Graduate,Yes,24956,5190.22,317.7,300,1.0,Semiurban,N
LP100148,Male,No,1,Not Graduate,No,20160,9792.63,200.9,240,1.0,Semiurban,Y
LP100149,Female,Yes,3+,Not Graduate,No,21758,6963.62,417.1,360,1.0,Urban,N
LP100150,Male,Yes,3+,Graduate,No,22414,6719.76,411.2,180,1.0,Rural,N
LP100151,Male,Yes,1,Not Graduate,No,5997,2406.82,430.6,240,1.0,Urban,N
LP100152,Male,Yes,2,Graduate,No,9433,7436.03,102.0,240,1.0,Semiurban,Y
LP100153,Male,Yes,0,Graduate,No,20019,7502.72,486.2,300,0.0,Semiurban,N
LP100154,Male,No,0,Not Graduate,No,8227,3172.89,481.8,240,1.0,Urban,N
LP100155,Female,No,3+,Graduate,No,13656,4837.14,210.9,360,1.0,Rural,Y
LP100156,Male,No,1,Not Graduate,Yes,19449,2946.03,79.7,360,1.0,Rural,Y
LP100157,Female,Yes,3+,Graduate,No,18192,2587.05,125.2,360,0.0,Rural,N
LP100158,Male,No,1,Graduate,Yes,10127,258.96,496.8,300,1.0,Urban,N
LP100159,Female,Yes,0,Graduate,No,9868,2852.12,303.4,180,1.0,Rural,N
LP100160,Male,Yes,2,Not Graduate,No,18022,5539.7,210.5,300,0.0,Rural,N
LP100161,Male,Yes,1,Graduate,No,18077,16.01,179.7,360,1.0,Rural,Y
LP100162,Female,Yes,0,Not Graduate,No,21141,2832.19,165.6,300,1.0,Rural,Y
LP100163,Female,No,3+,Graduate,Yes,17077,8814.1,348.9,360,1.0,Semiurban,N
LP100164,Female,No,1,Graduate,Yes,21119,5936.49,238.7,120,1.0,Urban,Y
LP100165,Male,Yes,2,Not Graduate,No,14972,6078.63,484.4,120,0.0,Urban,N
LP100166,Female,No,3+,Not Graduate,Yes,2442,4033.64,357.7,240,1.0,Rural,N
LP100167,Male,Yes,3+,Not Graduate,No,6120,6764.72,406.4,180,1.0,Urban,N
LP100168,Male,No,0,Not Graduate,No,23604,1899.33,181.7,120,1.0,Urban,Y
LP100169,Female,No,1,Not Graduate,Yes,17695,8187.47,85.6,360,1.0,Semiurban,Y
LP100170,Female,Yes,3+,Graduate,Yes,12654,1166.89,269.5,300,1.0,Urban,Y
LP100171,Male,No,2,Graduate,No,7853,6560.01,191.6,300,1.0,Semiurban,Y
LP100172,Male,Yes,1,Not Graduate,No,22841,3411.49,140.9,240,1.0,Urban,Y
LP100173,Female,No,2,Graduate,Yes,10645,7475.13,478.7,300,1.0,Semiurban,N
LP100174,Female,Yes,3+,Graduate,No,10994,5497.65,249.8,120,1.0,Semiurban,Y
LP100175,Female,Yes,2,Graduate,Yes,15062,4523.53,128.6,300,1.0,Urban,Y
LP100176,Male,No,0,Not Graduate,No,21265,1694.22,139.4,120,1.0,Semiurban,Y
LP100177,Male,No,2,Graduate,No,23723,6368.21,176.3,120,1.0,Semiurban,Y
LP100178,Male,Yes,1,Graduate,Yes,4380,9747.7,499.7,180,0.0,Urban,N
LP100179,Male,No,2,Graduate,Yes,22771,8256.03,170.6,240,1.0,Semiurban,Y
LP100180,Male,No,2,Not Graduate,Yes,2045,600.08,198.0,360,1.0,Semiurban,N
LP100181,Male,Yes,0,Graduate,No,15632,3762.29,346.7,120,1.0,Semiurban,N
LP100182,Female,Yes,2,Graduate,No,14804,9255.83,182.3,240,1.0,Semiurban,Y
LP100183,Male,No,2,Not Graduate,No,3427,5030.44,147.1,360,0.0,Semiurban,N
LP100184,Male,Yes,3+,Not Graduate,No,22036,6621.12,121.4,300,1.0,Rural,Y
LP100185,Male,Yes,3+,Graduate,Yes,17888,9125.99,190.7,240,0.0,Semiurban,N
LP100186,Female,Yes,1,Graduate,No,13173,8737.95,97.7,240,0.0,Semiurban,N
LP100187,Male,No,3+,Not Graduate,No,23417,5018.2,58.4,240,1.0,Semiurban,Y
LP100188,Male,No,3+,Not Graduate,No,16872,4376.46,412.1,300,1.0,Semiurban,N
LP100189,Female,Yes,3+,Not Graduate,Yes,23262,3396.93,112.1,300,1.0,Urban,Y
LP100190,Male,No,3+,Not Graduate,No,24117,7190.19,399.2,240,1.0,Rural,N
LP100191,Male,Yes,0,Not Graduate,No,4163,2869.87,408.9,180,1.0,Urban,N
LP100192,Male,No,3+,Not Graduate,Yes,16533,2498.88,292.1,120,1.0,Rural,Y
LP100193,Male,Yes,0,Not Graduate,No,10965,3562.5,189.4,300,1.0,Semiurban,Y
LP100194,Male,Yes,0,Graduate,No,4826,1772.15,115.3,180,1.0,Semiurban,Y
LP100195,Female,No,3+,Not Graduate,Yes,5159,6951.2,381.6,300,1.0,Rural,N
LP100196,Female,Yes,2,Not Graduate,No,19015,6162.41,320.6,240,1.0,Rural,N
LP100197,Female,No,0,Graduate,No,6263,4828.79,345.0,180,1.0,Urban,N
LP100198,Male,No,2,Not Graduate,No,24621,3903.26,53.9,360,1.0,Rural,Y
LP100199,Male,Yes,2,Not Graduate,Yes,12328,9090.63,467.4,120,0.0,Semiurban,N
LP100200,Male,Yes,3+,Graduate,No,16320,291.24,79.8,120,1.0,Urban,Y
LP100201,Female,No,1,Not Graduate,No,12721,7691.08,215.1,300,0.0,Rural,N
LP100202,Male,Yes,3+,Graduate,Yes,12711,9019.1,231.2,120,0.0,Rural,N
LP100203,Male,Yes,1,Graduate,Yes,15069,4463.55,50.6,360,0.0,Urban,N
LP100204,Female,Yes,1,Graduate,No,6592,5506.9,273.7,180,1.0,Rural,Y
LP100205,Male,Yes,3+,Graduate,No,7522,9444.64,388.8,180,1.0,Semiurban,N
LP100206,Female,Yes,3+,Not Graduate,No,14069,2122.78,420.5,240,1.0,Urban,N
LP100207,Female,No,1,Graduate,No,21043,5201.35,445.7,180,1.0,Rural,N
LP100208,Female,No,3+,Graduate,Yes,15015,4747.21,269.5,300,0.0,Semiurban,N
LP100209,Male,Yes,1,Not Graduate,No,7659,2583.93,333.8,360,1.0,Rural,N
LP100210,Male,Yes,2,Graduate,Yes,14723,8185.93,85.8,240,1.0,Urban,Y
LP100211,Male,Yes,3+,Graduate,Yes,9945,8996.01,269.6,300,1.0,Rural,Y
LP100212,Male,No,2,Graduate,No,23191,7819.33,119.7,300,1.0,Rural,Y
LP100213,Male,Yes,0,Graduate,No,12522,1953.59,216.3,300,0.0,Rural,N
LP100214,Male,No,2,Not Graduate,Yes,4544,867.49,198.2,120,1.0,Semiurban,Y
LP100215,Male,No,2,Graduate,Yes,11112,6054.44,240.6,300,1.0,Semiurban,Y
LP100216,Female,No,1,Not Graduate,No,7136,570.95,307.2,120,1.0,Rural,N
LP100217,Male,Yes,2,Not Graduate,Yes,13093,6728.26,456.3,180,1.0,Rural,N
LP100218,Female,No,3+,Graduate,No,17679,5304.24,227.5,120,1.0,Urban,Y
LP100219,Male,Yes,1,Graduate,No,4392,6627.86,491.5,300,1.0,Rural,N
LP100220,Male,No,0,Graduate,Yes,23172,5901.71,391.6,360,1.0,Urban,N
LP100221,Male,Yes,3+,Graduate,Yes,7312,4227.03,280.2,360,0.0,Semiurban,N
LP100222,Female,No,0,Not Graduate,No,2154,2008.77,339.8,180,0.0,Rural,N
LP100223,Female,Yes,2,Not Graduate,Yes,23365,3057.02,96.0,300,1.0,Urban,Y
LP100224,Female,No,3+,Not Graduate,No,18643,5245.01,430.0,120,1.0,Semiurban,N
LP100225,Female,Yes,3+,Graduate,No,24666,6518.68,312.1,360,0.0,Urban,N
LP100226,Male,Yes,0,Not Graduate,No,3298,7794.83,493.7,240,0.0,Semiurban,N
LP100227,Female,Yes,3+,Graduate,Yes,6659,7671.71,336.4,300,0.0,Rural,N
LP100228,Male,Yes,3+,Graduate,No,13118,9726.89,425.4,300,0.0,Urban,N
LP100229,Male,No,3+,Graduate,No,9946,2858.41,409.9,240,1.0,Rural,N
LP100230,Female,No,2,Graduate,No,23146,711.11,205.5,360,1.0,Urban,Y
LP100231,Female,Yes,0,Graduate,No,5323,3456.57,166.8,240,1.0,Semiurban,Y
LP100232,Female,No,3+,Not Graduate,No,17599,7432.94,243.7,180,1.0,Urban,Y
LP100233,Female,Yes,1,Not Graduate,No,19760,4381.12,260.3,120,1.0,Urban,Y
LP100234,Female,Yes,1,Graduate,No,24038,8177.88,158.0,120,1.0,Rural,Y
LP100235,Female,No,1,Not Graduate,No,9287,5493.26,452.6,360,1.0,Rural,N
LP100236,Female,Yes,1,Graduate,No,12696,9297.92,294.1,240,1.0,Rural,Y
LP100237,Female,Yes,2,Graduate,No,22400,9478.63,490.3,300,1.0,Semiurban,N
LP100238,Male,No,3+,Graduate,No,21618,693.05,414.5,300,1.0,Rural,N
LP100239,Female,Yes,0,Not Graduate,Yes,23856,4564.13,300.1,300,1.0,Urban,N
LP100240,Female,Yes,3+,Graduate,No,24523,6096.89,476.2,180,1.0,Semiurban,N
LP100241,Male,Yes,2,Graduate,No,23240,2558.73,277.2,180,1.0,Rural,Y
LP100242,Female,Yes,1,Not Graduate,No,7880,4070.77,449.2,300,1.0,Urban,N
LP100243,Male,No,2,Not Graduate,Yes,18892,6776.82,211.2,360,1.0,Urban,Y
LP100244,Male,No,3+,Not Graduate,No,22198,2267.34,220.4,180,0.0,Semiurban,N
LP100245,Female,No,0,Graduate,Yes,11202,6019.81,238.2,180,1.0,Urban,Y
LP100246,Male,Yes,2,Graduate,No,20392,6974.48,296.0,120,1.0,Rural,Y
LP100247,Male,Yes,0,Not Graduate,No,22642,904.96,299.1,120,0.0,Urban,N
LP100248,Male,No,2,Graduate,Yes,4182,4975.29,273.4,360,1.0,Rural,Y
LP100249,Male,Yes,0,Not Graduate,No,2489,2630.8,187.7,180,1.0,Rural,N
LP100250,Female,Yes,0,Not Graduate,Yes,13976,7243.86,467.2,180,0.0,Semiurban,N
LP100251,Male,Yes,1,Graduate,Yes,9946,1895.56,314.9,240,1.0,Urban,N
LP100252,Female,Yes,0,Graduate,No,6211,8922.38,233.5,360,0.0,Semiurban,N
LP100253,Male,No,1,Not Graduate,No,7979,4309.41,343.0,360,1.0,Semiurban,N
LP100254,Male,No,3+,Not Graduate,No,24848,1980.03,395.6,240,1.0,Semiurban,N
LP100255,Male,No,3+,Not Graduate,No,14661,4380.22,482.3,240,1.0,Rural,N
LP100256,Male,Yes,1,Not Graduate,Yes,16135,4087.44,274.8,120,1.0,Rural,Y
LP100257,Female,No,1,Graduate,Yes,9575,4289.19,100.4,360,1.0,Rural,Y
LP100258,Female,No,2,Not Graduate,No,22336,5855.61,248.3,360,1.0,Rural,Y
LP100259,Male,Yes,2,Not Graduate,Yes,2507,5211.74,265.5,240,1.0,Urban,N
LP100260,Male,Yes,2,Not Graduate,Yes,24380,1497.77,453.6,300,1.0,Urban,N
LP100261,Female,No,3+,Graduate,No,9188,655.79,227.7,300,1.0,Rural,Y
LP100262,Male,No,2,Graduate,Yes,12263,7294.15,479.0,120,1.0,Rural,N
LP100263,Male,No,0,Not Graduate,Yes,5408,5597.17,268.3,300,1.0,Urban,Y
LP100264,Male,No,0,Graduate,No,20687,3590.01,488.2,300,1.0,Semiurban,N
LP100265,Female,Yes,2,Graduate,Yes,13457,8083.58,53.7,300,1.0,Semiurban,Y
LP100266,Female,No,0,Graduate,No,5879,3880.58,454.5,180,1.0,Rural,N
LP100267,Female,No,3+,Not Graduate,Yes,17982,7959.65,469.0,120,1.0,Semiurban,N
LP100268,Male,Yes,0,Not Graduate,No,2377,3057.56,482.5,240,1.0,Rural,N
LP100269,Male,No,3+,Graduate,Yes,17085,728.45,55.9,300,0.0,Rural,N
LP100270,Female,Yes,1,Not Graduate,Yes,19752,9326.4,127.3,180,0.0,Rural,N
LP100271,Female,Yes,1,Not Graduate,No,20549,3945.51,344.2,300,1.0,Urban,N
LP100272,Female,Yes,1,Graduate,No,19272,7926.93,61.5,180,1.0,Semiurban,Y
LP100273,Female,No,1,Graduate,No,20299,2791.44,78.6,120,1.0,Urban,Y
LP100274,Male,No,0,Not Graduate,No,4137,6463.65,149.5,300,1.0,Semiurban,Y
LP100275,Female,Yes,2,Graduate,Yes,8742,8733.11,280.6,180,1.0,Urban,Y
LP100276,Male,No,0,Not Graduate,Yes,10757,416.44,295.7,360,1.0,Urban,Y
LP100277,Female,No,3+,Not Graduate,Yes,10113,8306.36,65.4,360,1.0,Rural,Y
LP100278,Male,Yes,0,Graduate,No,4383,5713.33,126.7,180,1.0,Rural,Y
LP100279,Female,Yes,0,Not Graduate,Yes,2704,6074.72,274.9,300,0.0,Urban,N
LP100280,Female,No,3+,Not Graduate,Yes,18428,5231.58,317.3,300,1.0,Semiurban,N
LP100281,Female,Yes,1,Graduate,No,13331,8744.75,116.8,120,1.0,Semiurban,Y
LP100282,Female,No,1,Graduate,No,16964,434.33,229.5,120,1.0,Rural,Y
LP100283,Male,No,1,Graduate,Yes,19107,2610.28,457.0,240,1.0,Rural,N
LP100284,Female,No,2,Not Graduate,No,21056,8757.63,499.5,120,1.0,Semiurban,N
LP100285,Male,No,3+,Graduate,Yes,24334,7523.46,494.2,300,1.0,Semiurban,N
LP100286,Male,Yes,3+,Graduate,Yes,15494,176.45,446.8,240,1.0,Semiurban,N
LP100287,Male,Yes,0,Graduate,No,8020,5170.06,227.6,120,1.0,Rural,Y
LP100288,Male,Yes,2,Graduate,Yes,2154,5295.73,359.0,180,1.0,Semiurban,N
LP100289,Female,Yes,1,Not Graduate,No,24705,4008.82,237.5,360,0.0,Rural,N
LP100290,Male,No,2,Not Graduate,No,20330,2973.93,341.8,120,1.0,Urban,N
LP100291,Male,No,3+,Graduate,Yes,23776,6817.25,189.2,120,1.0,Urban,Y
